role,case_id,performance_priority_raw,reliability_priority_raw,cost_priority_raw,power_priority_raw,performance_weight,reliability_weight,cost_weight,power_weight,weight_sum
ost,REQ_000716,0.294,0.147,0.238,0.321,0.294,0.147,0.238,0.321,1.0
ost,REQ_000726,0.077,0.549,0.113,0.261,0.077,0.549,0.113,0.261,1.0
ost,REQ_000763,0.593,0.245,0.122,0.04,0.593,0.245,0.122,0.04,1.0
ost,REQ_000770,0.038,0.34,0.266,0.356,0.038,0.34,0.266,0.356,1.0
ost,REQ_000771,0.277,0.279,0.262,0.182,0.277,0.279,0.262,0.182,1.0
ost,REQ_000774,0.359,0.308,0.269,0.064,0.359,0.308,0.269,0.064,1.0
ost,REQ_000776,0.103,0.431,0.421,0.045,0.103,0.431,0.421,0.045,1.0
ost,REQ_000789,0.215,0.152,0.372,0.261,0.215,0.152,0.372,0.261,1.0
ost,REQ_000793,0.49,0.123,0.112,0.275,0.49,0.123,0.112,0.275,1.0
ost,REQ_000799,0.738,0.13,0.113,0.019,0.738,0.13,0.113,0.019,1.0
ost,REQ_000806,0.393,0.39,0.176,0.041,0.393,0.39,0.176,0.041,1.0
ost,REQ_000815,0.252,0.274,0.183,0.291,0.252,0.274,0.183,0.291,1.0
ost,REQ_000817,0.142,0.672,0.126,0.06,0.142,0.672,0.126,0.06,1.0
ost,REQ_000820,0.441,0.139,0.182,0.238,0.441,0.139,0.182,0.238,1.0
ost,REQ_000844,0.113,0.124,0.307,0.456,0.113,0.124,0.307,0.456,1.0
ost,REQ_000848,0.029,0.441,0.36,0.17,0.029,0.441,0.36,0.17,1.0
ost,REQ_000851,0.478,0.077,0.106,0.339,0.478,0.077,0.106,0.339,1.0
ost,REQ_000855,0.222,0.185,0.17,0.423,0.222,0.185,0.17,0.423,1.0
ost,REQ_000863,0.009,0.463,0.236,0.292,0.009,0.463,0.236,0.292,1.0
ost,REQ_000866,0.029,0.331,0.332,0.308,0.029,0.331,0.332,0.308,1.0
ost,REQ_000878,0.75,0.054,0.129,0.067,0.75,0.054,0.129,0.067,1.0
ost,REQ_000886,0.019,0.503,0.36,0.118,0.019,0.503,0.36,0.118,1.0
ost,REQ_000891,0.349,0.362,0.019,0.27,0.349,0.362,0.019,0.27,1.0
ost,REQ_000906,0.199,0.487,0.157,0.157,0.199,0.487,0.157,0.157,1.0
ost,REQ_000915,0.245,0.297,0.384,0.074,0.245,0.297,0.384,0.074,1.0
ost,REQ_000917,0.283,0.454,0.106,0.157,0.283,0.454,0.106,0.157,1.0
ost,REQ_000921,0.252,0.328,0.056,0.364,0.252,0.328,0.056,0.364,1.0
ost,REQ_000936,0.436,0.104,0.078,0.382,0.436,0.104,0.078,0.382,1.0
ost,REQ_000949,0.159,0.271,0.424,0.146,0.159,0.271,0.424,0.146,1.0
ost,REQ_000956,0.458,0.153,0.05,0.339,0.458,0.153,0.05,0.339,1.0
ost,REQ_000957,0.102,0.802,0.012,0.084,0.102,0.802,0.012,0.084,1.0
ost,REQ_000959,0.354,0.149,0.183,0.314,0.354,0.149,0.183,0.314,1.0
ost,REQ_000962,0.035,0.446,0.426,0.093,0.035,0.446,0.426,0.093,1.0
ost,REQ_000997,0.099,0.283,0.301,0.317,0.099,0.283,0.301,0.317,1.0
ost,REQ_001005,0.389,0.288,0.295,0.028,0.389,0.288,0.295,0.028,1.0
ost,REQ_001022,0.164,0.268,0.282,0.286,0.164,0.268,0.282,0.286,1.0
ost,REQ_001026,0.067,0.35,0.195,0.388,0.067,0.35,0.195,0.388,1.0
ost,REQ_001033,0.158,0.229,0.437,0.176,0.158,0.229,0.437,0.176,1.0
ost,REQ_001038,0.246,0.083,0.323,0.348,0.246,0.083,0.323,0.348,1.0
ost,REQ_001041,0.43,0.117,0.105,0.348,0.43,0.117,0.105,0.348,1.0
ost,REQ_001054,0.014,0.407,0.395,0.184,0.014,0.407,0.395,0.184,1.0
ost,REQ_001059,0.09,0.298,0.347,0.265,0.09,0.298,0.347,0.265,1.0
ost,REQ_001067,0.353,0.316,0.269,0.062,0.353,0.316,0.269,0.062,1.0
ost,REQ_001076,0.297,0.357,0.024,0.322,0.297,0.357,0.024,0.322,1.0
ost,REQ_001079,0.231,0.524,0.115,0.13,0.231,0.524,0.115,0.13,1.0
ost,REQ_001080,0.134,0.428,0.201,0.237,0.134,0.428,0.201,0.237,1.0
ost,REQ_001088,0.352,0.053,0.536,0.059,0.352,0.053,0.536,0.059,1.0
ost,REQ_001093,0.377,0.352,0.078,0.193,0.377,0.352,0.078,0.193,1.0
ost,REQ_001121,0.229,0.115,0.328,0.328,0.229,0.115,0.328,0.328,1.0
ost,REQ_001129,0.779,0.028,0.06,0.133,0.779,0.028,0.06,0.133,1.0
ost,REQ_001132,0.433,0.513,0.012,0.042,0.433,0.513,0.012,0.042,1.0
ost,REQ_001136,0.105,0.097,0.462,0.336,0.105,0.097,0.462,0.336,1.0
ost,REQ_001140,0.235,0.404,0.267,0.094,0.235,0.404,0.267,0.094,1.0
ost,REQ_001141,0.264,0.277,0.02,0.439,0.264,0.277,0.02,0.439,1.0
ost,REQ_001144,0.004,0.212,0.275,0.509,0.004,0.212,0.275,0.509,1.0
ost,REQ_001145,0.37,0.442,0.129,0.059,0.37,0.442,0.129,0.059,1.0
ost,REQ_001147,0.229,0.145,0.237,0.389,0.229,0.145,0.237,0.389,1.0
ost,REQ_001152,0.129,0.003,0.399,0.469,0.129,0.003,0.399,0.469,1.0
ost,REQ_001166,0.543,0.4,0.031,0.026,0.543,0.4,0.031,0.026,1.0
ost,REQ_001175,0.367,0.358,0.001,0.274,0.367,0.358,0.001,0.274,1.0
ost,REQ_001182,0.119,0.448,0.124,0.309,0.119,0.448,0.124,0.309,1.0
ost,REQ_001183,0.254,0.146,0.493,0.107,0.254,0.146,0.493,0.107,1.0
ost,REQ_001187,0.31,0.279,0.178,0.233,0.31,0.279,0.178,0.233,1.0
